District,Households,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise,State/UT
Mansa,196389.0,145603.0,15725.124000000002,74111.927,96971.59799999998,50786.0,3605.8059999999996,20873.046000000002,46062.902,Punjab
Patiala,517369.0,299279.0,32022.853,158019.312,216378.717,218090.0,19846.19,87890.26999999999,195844.82,Punjab
Amritsar,660953.0,275477.0,21211.729,134983.73,220657.077,385476.0,31223.556,155732.30399999997,357721.728,Punjab
Tarn Taran,267174.0,222717.0,16481.058,113808.387,187750.43099999998,44457.0,2400.6780000000003,14404.068000000001,41389.467,Punjab
Rupnagar,208699.0,148162.0,10667.664,68895.33,93193.898,60537.0,3571.6830000000004,20643.117000000002,51456.45,Punjab
Sahibzada Ajit Singh Nagar,291335.0,117293.0,8327.803,56300.64,90667.489,174042.0,7309.764,56041.524000000005,168646.698,Punjab
Sangrur,448944.0,292156.0,22788.168,161270.11200000002,177630.848,156788.0,8466.552000000001,66634.9,146439.992,Punjab
Barnala,156799.0,102577.0,8308.737000000001,57135.389,66469.89600000001,54222.0,3849.7619999999997,23640.792,47552.694,Punjab
Chandigarh,298367.0,8911.0,534.66,3172.3160000000003,5070.3589999999995,289456.0,14472.800000000001,79889.856,265431.152,Chandigarh
Uttarkashi,121209.0,112148.0,8186.803999999999,48447.93600000001,68073.836,9061.0,344.318,2147.457,8372.364,Uttarakhand
Chamoli,186340.0,163434.0,9969.474,74689.338,128459.12399999998,22906.0,1076.582,7879.664,21073.52,Uttarakhand
Rudraprayag,117159.0,112705.0,7325.825,56014.38500000001,90389.41,4454.0,262.786,1826.1399999999999,4017.5080000000003,Uttarakhand
Tehri Garhwal,254236.0,227059.0,6357.651999999999,106490.67099999999,199811.92,27177.0,951.195,7229.082,23807.051999999996,Uttarakhand
Dehradun,497638.0,228245.0,6847.349999999999,61626.15,90156.77500000001,269393.0,2155.1440000000002,42833.487,246494.595,Uttarakhand
Garhwal,316462.0,279682.0,6992.05,73556.36600000001,131450.53999999998,36780.0,331.02000000000004,4266.48,32182.5,Uttarakhand
Pithoragarh,209943.0,183687.0,3490.053,36370.026000000005,93680.37,26256.0,78.768,2546.832,24050.496,Uttarakhand
Bageshwar,99911.0,96031.0,2688.868,26504.556,48111.531,3880.0,27.159999999999997,411.28,3720.92,Uttarakhand
Almora,281138.0,260056.0,10142.184,69434.952,194001.776,21082.0,505.968,4300.728,20070.064000000002,Uttarakhand
Champawat,98041.0,85202.0,1533.6360000000002,21385.702,41152.566,12839.0,141.229,1848.8160000000003,12158.533000000001,Uttarakhand
Nainital,298663.0,193086.0,4440.978,49043.844,92681.28,105577.0,527.885,10452.123,101881.805,Uttarakhand
Udham Singh Nagar,414659.0,269406.0,7812.773999999999,67620.906,144132.21000000002,145253.0,1307.277,13218.023,130727.7,Uttarakhand
Hardwar,488011.0,301828.0,5131.076,72740.54800000001,155743.248,186183.0,2420.3790000000004,26996.535,171102.177,Uttarakhand
Panchkula,164551.0,70895.0,4253.7,28570.684999999998,28641.579999999998,93656.0,5525.704000000001,26317.336000000003,74831.144,Haryana
Ambala,315256.0,175365.0,8943.615,55590.705,121703.31000000001,139891.0,4196.73,27698.418,132616.668,Haryana
Yamunanagar,357723.0,214464.0,14369.088000000002,98438.976,122030.01599999999,143259.0,5730.36,52146.276,131798.28,Haryana
Kurukshetra,291821.0,203553.0,10788.309,98316.099,102183.606,88268.0,1941.8960000000002,22331.804,81736.16799999999,Haryana
Kaithal,306787.0,231091.0,11323.459,81344.032,101680.04,75696.0,3557.712,17182.992,66309.696,Haryana
Karnal,428602.0,292682.0,12585.326,129365.444,149560.502,135920.0,4485.360000000001,38601.28,121376.56,Haryana
Panipat,327306.0,173502.0,11104.128,81719.44200000001,79810.92,153804.0,6152.16,52139.556,141345.87600000002,Haryana
Sonipat,417434.0,283858.0,12205.893999999998,130574.68000000001,196145.878,133576.0,4675.160000000001,39538.49600000001,123424.224,Haryana
Jind,368000.0,278335.0,13360.08,134992.475,160599.295,89665.0,3676.2649999999994,33086.385,74152.955,Haryana
Fatehabad,258380.0,203020.0,9947.98,96434.5,139271.72,55360.0,1439.3600000000001,16220.48,50709.759999999995,Haryana
Sirsa,338792.0,245476.0,10309.992,116846.57600000002,163732.492,93316.0,2706.1639999999998,36393.24,88556.884,Haryana
Hisar,456126.0,302013.0,14194.611,151610.526,169731.306,154113.0,5239.842000000001,54864.228,142092.18600000002,Haryana
Bhiwani,456282.0,357047.0,17852.350000000002,182451.017,183165.111,99235.0,2778.58,33640.66499999999,86929.85999999999,Haryana
Rohtak,306942.0,175203.0,9986.571,81294.192,127722.98700000002,131739.0,6455.211,44527.782,119750.751,Haryana
Jhajjar,290144.0,211816.0,12497.144,88327.27200000001,185339.0,78328.0,3211.4479999999994,25848.24,75116.55200000001,Haryana
Mahendragarh,267942.0,223726.0,12304.93,104032.59000000001,139828.75,44216.0,1459.1280000000002,14237.552,39573.32,Haryana
Rewari,268754.0,199449.0,10570.797,91547.09099999999,98128.90800000001,69305.0,3049.4200000000005,28830.88,60156.74,Haryana
Gurgaon,523691.0,141703.0,6660.041,69859.579,82754.552,381988.0,10313.676000000001,127202.00399999999,351810.948,Haryana
Mewat,223635.0,187398.0,9182.502,84516.498,109627.82999999999,36237.0,1630.665,14820.932999999999,33229.329,Haryana
Faridabad,470681.0,87700.0,2718.7,36921.700000000004,34203.0,382981.0,10723.467999999999,142468.93200000003,295661.332,Haryana
Palwal,249159.0,186069.0,6140.277,77590.773,92662.362,63090.0,1514.16,19557.9,55393.02,Haryana
North West,1026867.0,67592.0,2162.944,26563.656,44340.35199999999,959275.0,37411.725,262841.35,879655.175,Nct Of Delhi
North,301071.0,4512.0,406.08,2635.008,803.1360000000001,296559.0,14234.832,122182.308,185349.375,Nct Of Delhi
North East,487581.0,5326.0,229.01799999999997,2300.8320000000003,3121.0359999999996,482255.0,11574.12,188561.70500000002,430171.46,Nct Of Delhi
East,462218.0,1086.0,68.418,554.946,348.606,461132.0,16600.752,166929.784,381817.296,Nct Of Delhi
New Delhi,52664.0,0.0,0.0,0.0,0.0,52664.0,1737.912,18116.415999999997,45238.376000000004,Nct Of Delhi
Central,194897.0,0.0,0.0,0.0,0.0,194897.0,6821.395,72306.787,175212.403,Nct Of Delhi
West,701512.0,1809.0,50.651999999999994,658.476,1718.55,699703.0,13994.06,249094.26800000004,665417.553,Nct Of Delhi
South West,647682.0,41179.0,494.148,2758.993,40396.599,606503.0,11523.556999999999,146773.726,566473.802,Nct Of Delhi
South,731063.0,2918.0,52.52400000000001,1409.394,2541.578,728145.0,20388.059999999998,209705.76000000004,654602.355,Nct Of Delhi
Ganganagar,562594.0,397697.0,13124.001,141182.435,348780.26900000003,164897.0,4287.322,45676.469,150386.064,Rajasthan
Hanumangarh,497753.0,389059.0,17896.714,160681.367,352487.45399999997,108694.0,3152.1259999999997,32934.282,95650.72,Rajasthan
Bikaner,531933.0,335754.0,8393.85,141352.434,272968.002,196179.0,6473.907,63169.638,183623.544,Rajasthan
Churu,493893.0,344897.0,8277.528,126922.096,283850.23099999997,148996.0,4618.876,47976.712,139907.244,Rajasthan
Jhunjhunun,650809.0,500452.0,24522.148,253228.712,147633.34,150357.0,2556.069,41047.461,139230.582,Rajasthan
Alwar,995261.0,782294.0,45373.051999999996,306659.248,367678.18,212967.0,4685.274,64741.968,186346.125,Rajasthan
Bharatpur,516663.6425,344332.1893,8263.972543200001,84017.0541892,157359.8105101,129697.0,2334.5460000000003,32943.038,107000.025,Rajasthan
Dhaulpur,273296.0,214670.0,7728.120000000001,84794.65000000001,31771.160000000003,58626.0,938.016,16884.288,46490.418,Rajasthan
Karauli,364355.0,305047.0,14337.209,166250.61500000002,23793.666,59308.0,1423.392,24909.36,41219.06,Rajasthan
