District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise
Karimganj,261945,15978.645,157952.835,188338.455,32695,1275.105,11900.98,30471.74
Hailakandi,159215,12896.415,96961.935,93777.635,16202,648.08,5719.306,15262.284
Bongaigaon,181923,14371.917,116430.72,118431.873,38470,1615.74,14887.89,37585.19
Chirang,129018,5547.774,83990.718,62573.73,11613,418.068,6038.76,10974.285
Kamrup,390596,17576.82,243731.904,223030.316,43849,1447.017,19819.748,42358.134
Kamrup Metropolitan,61334,7482.748,34899.046,47595.184,366858,22378.338,136471.176,351449.964
Nalbari,210706,31395.194,121366.656,176360.922,28238,2456.706,10193.918,27503.812
Baksa,291641,48995.688,173526.395,238853.979,3580,272.08,1091.9,3511.98
Darrang,268517,33564.625,172656.431,132110.364,20189,868.127,5854.81,18493.124
Udalguri,267790,29189.11,153979.25,64269.6,13835,2047.58,5464.825,11745.915
Darjiling,303284,37303.932,179240.844,172871.88,215675,18332.375,97269.425,169736.225
Jalpaiguri,798378,80636.178,418350.072,516550.566,319426,12457.614,87203.298,309843.22
Koch Bihar,803407,76323.665,490078.27,511770.259,97331,8273.135,42144.323,87695.231
Uttar Dinajpur,683981,76605.872,439799.783,264700.647,94269,7070.175,50151.108,88707.129
Dakshin Dinajpur,390949,69588.922,225186.624,186091.724,70077,6026.622,24106.488,64330.686
Maldah,830318,88844.026,497360.482,344581.97,128678,9264.816,45423.334,115552.844
Murshidabad,1501066,120085.28,813577.772,785057.518,350899,18597.647,111234.983,305282.13
Birbhum,831044,132967.04,480343.432,308317.324,134565,14129.325,50058.18,110746.995
Barddhaman,1364868,171973.368,787528.836,760231.476,862368,68127.072,292342.752,778718.304
Nadia,1081381,134091.244,626119.599,222764.486,468390,68384.94,187356,377522.34
North Twenty Four Parganas,1209337,143911.103,696578.112,332567.675,1649803,153431.679,565882.429,1511219.548
Hugli,992085,112105.605,585330.15,251989.59,647953,53780.099,314257.205,481429.079
Bankura,900515,153087.55,505188.915,312478.705,90885,10542.66,44079.225,56166.93
Puruliya,653219,101902.164,339673.88,122151.953,99433,9247.269,37088.509,61250.728
Haora,483384,45438.096,250392.912,222840.024,869313,54766.719,332077.566,621558.795
Kolkata,0,0,0,0,1308106,138659.236,538939.672,1220462.898
South Twenty Four Parganas,1568802,309053.994,726355.326,1237784.778,611430,33017.22,204217.62,574744.2
Paschim Medinipur,1364335,159627.195,620772.425,819965.335,201048,10655.544,67753.176,178530.624
Purba Medinipur,1193006,139581.702,625135.144,196845.99,170707,15192.923,66234.316,103107.028
Garhwa,272872,20192.528,171090.744,16645.192,19180,1285.06,8343.3,9762.62
Chatra,200974,27935.386,81193.496,120986.348,14528,944.32,5113.856,12130.88
Kodarma,116714,18907.668,58240.286,64192.7,34771,2816.451,13386.835,28894.701
Giridih,452564,59738.448,236238.408,189624.316,46886,3891.538,15378.608,36195.992
Deoghar,257373,46584.513,126112.77,220311.288,64337,6498.037,22389.276,53271.036
Godda,276454,12716.884,172507.296,13546.246,15576,1059.168,6931.32,7211.688
Sahibganj,223450,10055.25,128483.75,14747.7,37543,1539.263,17419.952,24665.751
Pakur,200588,8424.696,104907.524,15244.688,16587,895.698,7414.389,8343.261
Dhanbad,258764,8021.684,138697.504,15008.312,405455,13785.47,150018.35,248543.915
Bokaro,250312,12765.912,151689.072,13767.16,258452,10854.984,96661.048,176522.716
Lohardaga,96759,8901.828,60667.893,7643.961,14725,618.45,5418.8,9556.525
Purbi Singhbhum,262537,19165.201,170911.587,24153.404,342126,26685.828,159088.59,185774.418
Palamu,355529,25242.559,212961.871,25953.617,52375,2985.375,24459.125,24354.375
Latehar,146377,6879.719,76408.794,17857.994,14137,551.343,6290.965,8383.241
Hazaribagh,312983,12832.303,157430.449,20656.878,68765,2200.48,25236.755,43115.655
Ramgarh,134067,3753.876,83791.875,9786.891,118558,5216.552,42917.996,83583.39
Dumka,303697,17614.426,154885.47,41302.792,23281,535.463,6006.498,18787.767
Jamtara,165555,10429.965,103968.54,12251.07,20113,1086.102,8065.313,11725.879
Ranchi,420740,9256.28,244029.2,30293.28,310242,15512.1,125958.252,173115.036
Khunti,344332.1893,11362.96225,167001.1118,32022.8936,172779.8242,5183.394726,57190.12181,126993.1708
Gumla,216629,8231.902,108531.129,23829.19,16445,592.02,6545.11,9867
Simdega,144169,8650.14,92123.991,8938.478,11114,555.7,3723.19,7135.188
Pashchimi Singhbhum,336928,16509.472,210916.928,14824.832,63396,2092.068,21237.66,38100.996
Saraikela-Kharsawan,217248,6517.44,119486.4,28676.736,68439,2805.999,21763.602,54135.249
Bargarh,411566,13993.244,237473.582,16462.64,47395,1421.85,18104.89,25545.905
Jharsuguda,103224,2993.496,65340.792,6606.336,73962,3698.1,28401.408,50663.97
Sambalpur,220697,6400.213,131535.412,10814.153,94798,3791.92,37919.2,50622.132
Debagarh,91408,3656.32,46526.672,3382.096,7350,330.75,2756.25,4329.15
Sundargarh,387911,13964.796,207532.385,24826.304,230151,7825.134,84235.266,148447.395
Kendujhar,490634,41703.89,328234.146,60347.982,83664,3932.208,39071.088,45345.888
Mayurbhanj,689110,40657.49,492713.65,64776.34,64479,3610.824,29337.945,34560.744
Baleshwar,601154,46890.012,419004.338,51699.244,82440,4286.88,33965.28,49051.8
Bhadrak,373862,50097.508,280396.5,22057.858,54244,2983.42,33794.012,27827.172
Kendrapara,414749,24055.442,314794.491,34838.916,23494,1033.736,11018.686,15388.57
Jagatsinghapur,309685,26632.91,216779.5,28800.705,43047,3314.619,21006.936,21867.876
Cuttack,579529,49839.494,420158.525,86929.35,210768,17072.208,92316.384,134891.52
Jajapur,495611,57490.876,307774.431,112503.697,45528,3278.016,19212.816,30959.04
Dhenkanal,315390,28069.71,202795.77,50462.4,36979,2736.446,19487.933,19155.122
Anugul,340410,25530.75,194033.7,53784.78,74177,6527.576,33082.942,42874.306
Nayagarh,261646,18576.866,149923.158,57823.766,26688,987.456,15265.536,11956.224
Khordha,331834,33515.234,182508.7,74330.816,356895,22841.28,130623.57,278378.1
Puri,402014,58694.044,232364.092,80000.786,72210,5054.7,30978.09,44192.52
Ganjam,795476,91479.74,521036.78,112957.592,219918,16713.768,91925.724,131510.964
Gajapati,152095,18251.4,97949.18,25399.865,23050,1521.3,8943.4,14752
Kandhamal,218446,26650.412,140460.778,34732.914,24489,1861.164,11877.165,13664.862
Baudh,131377,11167.045,81979.248,24041.991,6577,335.427,2407.182,5037.982
Subarnapur,176927,19815.824,113410.207,27600.612,16575,961.35,7690.8,12149.475
Balangir,476770,45293.15,293690.32,91063.07,62192,3233.984,24814.608,40611.376
Nuapada,197258,11638.222,132162.86,25051.766,11869,593.45,4830.683,6729.723
Kalahandi,456336,30118.176,313959.168,28749.168,38412,2458.368,17861.58,21702.78
Rayagada,237343,11155.121,178244.593,21360.87,49205,2657.07,27604.005,25242.165
Nabarangapur,342840,24684.48,253701.6,27084.36,29424,1706.592,18066.336,11475.36
Koraput,381789,26725.23,261907.254,38560.689,78339,5327.052,36740.991,45514.959
Malkangiri,167884,8058.432,122387.436,21321.268,15839,1029.535,8347.153,7666.076
Koriya,121852,11454.088,85661.956,9991.864,59763,4123.647,28566.714,35140.644
Surguja,344332.1893,19626.93479,239999.5359,22725.92449,65167,2802.181,23329.786,39426.035
Jashpur,344332.1893,15150.61633,238622.2072,19971.26698,20722,1015.378,10651.108,11065.548
Raigarh,354278,18776.734,232760.646,29050.796,66638,3731.728,25922.182,43248.062
Korba,206598,15288.252,139040.454,12395.88,126055,10588.62,57607.135,60128.235
Janjgir - Champa,379583,8350.826,191689.415,32264.555,61190,795.47,22946.25,36285.67
Bilaspur,549632,11542.272,269319.68,118170.88,188174,3010.784,55323.156,115350.662
Kabeerdham,187311,3371.598,78483.309,22102.698,23868,286.416,9022.104,10072.296
Rajnandgaon,313604,15052.992,180008.696,40768.52,76528,2295.84,28927.584,43850.544
Durg,533448,25605.504,306199.152,69348.24,349741,3847.151,61904.157,283290.21
Raipur,673499,24245.964,190600.217,342810.991,395001,11850.03,149310.378,226335.573
Mahasamund,274793,9892.548,77766.419,139869.637,35774,393.514,6331.998,28976.94
Dhamtari,168689,5398.048,91766.816,20073.991,41792,668.672,12412.224,24490.112
Uttar Bastar Kanker,169191,9474.696,99822.69,18611.01,24878,945.364,10896.564,11045.832
Bastar,316425,19618.35,192702.825,28478.25,54894,2799.594,20146.098,27172.53
Narayanpur,26916,915.144,12838.932,4979.46,6179,154.475,2026.712,3287.228
Dakshin Bastar Dantewada,106545,5327.25,55829.58,14916.3,31304,688.688,9265.984,19596.304
Bijapur,50449,2976.491,28755.93,6507.921,7942,230.318,2390.542,5162.3
Sheopur,150146,6906.716,90087.6,22822.192,26376,1081.416,10866.912,13214.376
Morena,319298,13410.516,175933.198,77270.116,95288,3335.08,37352.896,51074.368
Bhind,271211,8136.33,126113.115,40139.228,88385,2828.32,33409.53,53826.465
Gwalior,172720,5872.48,90159.84,24008.08,272172,7892.988,96348.888,166024.92
Datia,160453,7059.932,92420.928,6578.573,43401,954.822,24000.753,19183.242
Shivpuri,367859,11771.488,184297.359,26485.848,66759,1936.011,23565.927,33245.982
Tikamgarh,322772,13556.424,182366.18,8714.844,60220,1866.82,36854.64,16921.82
Chhatarpur,375869,15786.498,212365.985,10148.463,95048,2756.392,26328.296,56553.56
Panna,256744,17458.592,107062.248,12837.2,32179,997.549,19693.548,9042.299
Sagar,448408,30491.744,186986.136,22420.4,165507,4799.703,45845.439,98476.665
Damoh,303387,16079.511,183245.748,17596.446,66514,2128.448,27004.684,38046.008
Satna,461831,24015.212,247079.585,30942.677,114173,2397.633,40759.761,84259.674
Rewa,523910,24099.86,270337.56,48723.63,94489,2362.225,38457.023,63591.097
Umaria,138100,6214.5,66426.1,23891.3,29966,599.32,8060.854,26070.42
Neemuch,174235,4704.345,81367.745,19688.555,67962,2038.86,23650.776,42884.022
Mandsaur,302287,12696.054,164141.841,16928.072,81832,2291.296,25777.08,53763.624
Ratlam,266716,7734.764,119222.052,10401.924,107151,2893.077,35252.679,48432.252
Ujjain,300765,7819.89,135945.78,15639.78,188684,3018.944,54907.044,109248.036
Shajapur,312611,9378.33,148490.225,15630.55,73997,1701.931,26638.92,39810.386
Dewas,274995,12924.765,141897.42,30799.44,101014,2525.35,32425.494,65356.058
Dhar,412348,20617.4,223080.268,24328.532,103364,2997.556,35247.124,58090.568
Indore,200371,4408.162,78545.432,45684.588,587947,13522.781,137579.598,355707.935
Khargone (West Nimar),383543,8054.403,133089.421,68270.654,76620,1838.88,16703.16,45588.9
Barwani,250358,10515.036,118168.976,14520.764,48912,1027.152,13842.096,26999.424
Rajgarh,331894,9293.032,153666.922,43810.008,69823,977.522,19271.148,44407.428
Vidisha,292579,6729.317,145411.763,38913.007,83830,1425.11,24729.85,57172.06
Bhopal,118893,4161.255,68601.261,15931.662,581826,8145.564,160002.15,481751.928
Sehore,270427,10276.226,148464.423,48406.433,59220,1125.18,17825.22,49507.92
Raisen,251272,11055.968,142471.224,33670.448,74441,1786.584,23895.561,49652.147
Betul,318945,19774.59,156283.05,69211.065,87704,2280.304,26749.72,67795.192
Harda,112714,5297.558,63683.41,21641.088,31845,955.35,9776.415,24329.58
Hoshangabad,209650,9643.9,86795.1,87004.75,105746,2855.142,24638.818,95488.638
Katni,276151,17397.513,157129.919,35899.63,72880,2332.16,21499.6,53785.44
Jabalpur,272284,14158.768,163914.968,28045.252,352477,14451.557,131826.398,232987.297
Narsimhapur,230659,14992.835,139318.036,17991.402,53059,1697.888,18942.063,32365.99
Dindori,218021,6540.63,98545.492,25072.415,9774,205.254,2990.844,6988.41
Mandla,279674,12025.982,130328.084,60129.91,37258,968.708,11214.658,31259.462
Chhindwara,413142,27267.372,180129.912,89651.814,140802,3520.05,44071.026,111374.382
Seoni,335045,24123.24,155460.88,61983.325,47542,1901.68,17305.288,34230.24
Balaghat,400074,19203.552,182433.744,51609.546,70793,2123.79,21450.279,50687.788
Guna,212765,16382.905,89786.83,81488.995,72320,3182.08,19164.8,57349.76
Ashoknagar,169606,17299.812,74457.034,57326.828,37135,1262.59,10657.745,29930.81
Shahdol,233594,10278.136,108621.21,20089.084,57846,1388.304,16543.956,38062.668
Anuppur,344332.1893,19626.93479,159081.4715,92281.02673,172779.8242,5010.614902,50797.26831,138569.419
Sidhi,250953,24593.394,122716.017,69012.075,25916,1529.044,8733.692,18607.688
Singrauli,228732,6175.764,117110.784,8463.084,58593,3222.615,22089.561,32401.929
Jhabua,211080,9076.44,91186.56,14142.36,24713,988.52,7067.918,16088.163
Alirajpur,135866,6929.166,68340.598,16711.518,14662,542.494,4911.77,9720.906
Khandwa (East Nimar),265663,13017.487,119814.013,40380.776,63425,2219.875,17568.725,46871.075
Burhanpur,115979,6262.866,44419.957,13569.543,62861,2137.274,18481.134,39665.291
Kachchh,488293,14160.497,240240.156,36133.682,250982,8282.406,84329.952,149585.272
Banas Kantha,666773,18002.871,293380.12,46674.11,137424,2336.208,51946.272,77369.712
Patan,301483,8743.007,133255.486,22912.708,102655,2771.685,29975.26,65391.235
Mahesana,476005,9044.095,175169.84,20944.22,183738,4042.236,45934.5,104546.922
Sabar Kantha,544024,10336.456,207817.168,22304.984,121509,1822.635,32564.412,59539.41
Gandhinagar,237624,4514.856,105505.056,5227.728,195634,5086.484,53016.814,101925.314
Ahmadabad,353169,18011.619,221083.794,20483.802,1845383,33216.894,470572.665,1417254.144
Surendranagar,340788,13631.52,211629.348,17039.4,159810,4155.06,47623.38,120336.93
Rajkot,459474,36757.92,240764.376,79948.476,721532,31747.408,224396.452,500021.676
Jamnagar,347158,22218.112,168024.472,64224.23,299167,11667.513,124752.639,205228.562
Porbandar,96015,1056.165,24387.81,47239.38,87557,875.57,18737.198,76962.603
Junagadh,489237,19569.48,189823.956,83659.527,287506,4312.59,68426.428,224254.68
Amreli,313714,11921.132,117015.322,112623.326,116899,1753.485,29809.245,96324.776
Bhavnagar,387251,10068.526,127018.328,171939.444,356826,4638.738,77788.068,303302.1
Anand,413078,8674.638,169775.058,128467.258,208909,3342.544,56614.339,160233.203
Kheda,461479,10614.017,168901.314,197513.012,160547,2087.111,39173.468,129721.976
Panch Mahals,463363,9267.26,187662.015,152446.427,104238,625.428,24912.882,96003.198
Dohad,323697,7445.031,117825.708,67328.976,52807,739.298,12568.066,36964.9
Vadodara,547454,8211.81,155476.936,240879.76,692971,7622.681,151760.649,599419.915
Narmada,138121,2209.936,41574.421,48066.108,22248,222.48,5117.04,18643.824
Bharuch,300677,6915.571,91405.808,117564.707,181319,2357.147,44604.474,140340.906
The Dangs,52102,885.734,17037.354,23966.92,7516,105.224,1796.324,6441.212
Navsari,267739,4551.563,77376.571,139492.019,141417,1414.17,34929.999,110870.928
Valsad,262410,3936.15,87120.12,84233.61,235981,2595.791,60647.117,192560.496
Surat,369840,7766.64,152743.92,152743.92,1529998,19889.974,399329.478,1269898.34
Tapi,192272,4806.8,81138.784,48837.088,26217,393.255,6554.25,20580.345
Diu,9788,254.488,4933.152,1663.96,9062,99.682,2211.128,7621.142
Daman,10006,210.126,5953.57,610.366,61073,671.803,14413.228,43850.414
Dadra AND Nagar Haveli,48221,964.42,22181.66,13742.985,60562,484.496,12051.838,55656.478
Nandurbar,333440,4334.72,146380.16,53350.4,71572,1359.868,24119.764,53464.284
Dhule,382777,5741.655,146220.814,175311.866,146013,876.078,29494.626,130535.622
Jalgaon,796223,8758.453,289028.949,201444.419,373565,2614.955,100115.42,215920.57
Buldana,575405,8055.67,198514.725,256055.225,152787,1375.083,30557.4,130938.459
Akola,308158,4006.054,122338.726,85051.608,196077,1764.693,48234.942,149018.52
Washim,274925,3299.1,84951.825,137187.575,55921,279.605,11072.358,52453.898
Amravati,508921,5089.21,184738.323,117051.83,272894,2183.152,81322.412,211492.85
Wardha,268486,805.458,34097.722,116254.438,120218,240.436,12863.326,89802.846
Nagpur,430844,3877.596,113742.816,246873.612,877522,5265.132,325560.662,761689.096
Bhandara,283843,2270.744,129148.565,75218.395,72575,145.15,15095.6,59003.475
Gondiya,319702,12468.378,156334.278,71293.546,66813,2204.829,19509.396,42426.255
Gadchiroli,293586,9981.924,109801.164,54900.582,37254,596.064,8456.658,24326.862
Chandrapur,451324,24822.82,175565.036,101999.224,233331,3966.627,63232.701,151431.819
Yavatmal,629243,42159.281,295114.967,183109.713,168889,5911.115,58097.816,102853.401
Nanded,591119,41969.449,280781.525,182655.771,230563,8530.831,77930.294,166697.049
Hingoli,242456,16244.552,112257.128,66675.4,41913,1089.738,14962.941,28207.449
Parbhani,293480,19369.68,130892.08,120620.28,133759,3879.011,41866.567,105134.574
Jalna,404746,38450.87,176874.002,191040.112,98084,3629.108,23540.16,76897.856
Aurangabad,551789,45798.487,215197.71,254374.729,427343,11965.604,101280.291,384608.7
Nashik,904661,73277.541,394432.196,504800.838,764271,25985.214,191067.75,644280.453
Thane,713994,37127.688,287739.582,339147.15,2904157,95837.181,784122.39,2244913.361
Mumbai Suburban,0,0,0,0,3078829,123153.16,831283.83,2028948.311
Mumbai,0,0,0,0,1107321,37648.914,279044.892,793949.157
Raigarh,581868,47131.308,272896.092,126847.224,377160,14709.24,110507.88,257223.12
Pune,1165718,90926.004,596847.616,223817.856,2056739,82269.56,719858.65,1505532.948
Ahmadnagar,1041393,62483.58,486330.531,280134.717,282011,8742.341,109138.257,185281.227
Bid,563114,46738.462,266352.922,74894.162,135457,5960.108,48493.606,90620.733
Latur,428616,29574.504,175732.56,125155.872,157016,4867.496,57310.84,110225.232
Osmanabad,367158,20560.848,126669.51,107577.294,77832,1945.8,18913.176,53781.912
Solapur,779929,45235.882,287013.872,309631.813,376302,4139.322,81657.534,280344.99
Satara,774522,37951.578,185110.758,478654.596,200949,2612.337,41998.341,161763.945
Ratnagiri,538538,39851.812,164792.628,210568.358,100824,2520.6,23290.344,74206.464
Sindhudurg,295847,23667.76,121297.27,45560.438,44989,1304.681,13856.612,31087.399
Kolhapur,796496,45400.272,319394.896,197531.008,382818,9953.268,117142.308,298215.222
Sangli,626872,38866.064,239465.104,139165.584,226801,6350.428,71669.116,131090.978
Adilabad,597466,46602.348,176849.936,191786.586,220248,4184.712,67836.384,134131.032
Nizamabad,565165,29953.745,157115.87,396180.665,155133,4188.591,32112.531,116970.282
Karimnagar,877236,35966.676,251766.732,589502.592,288044,5472.836,47815.304,236196.08
Medak,593653,27308.038,163848.228,441677.832,195479,5864.37,46524.002,169675.772
Hyderabad,0,0,0,0,1066289,12795.468,236716.158,796517.883
Rangareddy,432098,22036.998,118394.852,261419.29,1129224,27101.376,285693.672,876277.824
Mahbubnagar,848963,55182.595,303079.791,117156.894,161052,4509.456,37847.22,113863.764
Nalgonda,833504,35840.672,265054.272,245050.176,197433,4343.526,50147.982,168805.215
Warangal,758738,38695.638,245831.112,259488.396,288249,5188.482,60532.29,243282.156
Khammam,669262,29447.528,231564.652,212825.316,201363,2416.356,39064.422,170353.098
Srikakulam,752752,16560.544,191951.76,327447.12,149684,1047.788,24248.808,143696.64
Vizianagaram,592458,36732.396,182477.064,106049.982,157056,2669.952,29840.64,122660.736
Visakhapatnam,718847,42411.973,245845.674,229312.193,660493,11228.381,160499.799,536320.316
East Godavari,1199479,101955.715,465397.852,356245.263,406362,11784.498,96307.794,334842.288
West Godavari,1007255,52377.26,341459.445,376713.37,248373,5464.206,56132.298,212110.542
Krishna,909292,31825.22,291882.732,116389.376,567042,9639.714,121346.988,373680.678
Guntur,1069877,35305.941,330591.993,114476.839,513113,9749.147,102622.6,340707.032
Prakasam,873486,27951.552,259425.342,186926.004,214089,2354.979,36395.13,178764.315
Sri Potti Sriramulu Nellore,689137,26876.343,209497.648,323894.39,264376,4494.392,55254.584,230800.248
Y.S.R.,590589,28348.272,177176.7,347856.921,293504,6457.088,61929.344,260338.048
Kurnool,783853,34489.532,241426.724,440525.386,306982,5218.694,61703.382,285493.26
Anantapur,902997,37925.874,279929.07,419893.605,341431,6487.189,74773.389,294654.953
Chittoor,344332.1893,14461.95195,102610.9924,96413.013,395900,7918,83930.8,306426.6
Belgaum,962777,41399.411,268614.783,245508.135,356198,6767.762,59128.868,280684.024
Bagalkot,324799,8444.774,71130.981,92242.916,165858,1824.438,30849.588,131193.678
Bijapur,396449,13082.817,107041.23,109419.924,131041,1834.574,27518.61,95266.807
Bidar,287134,8326.886,62308.078,63169.48,102269,1329.497,21374.221,77928.978
Raichur,330446,12226.502,74019.904,64767.416,125402,1504.824,18434.094,102202.63
Koppal,272968,12829.496,105092.68,50499.08,64681,1228.939,16493.655,46829.044
Gadag,180066,9363.432,77248.314,12964.752,111906,4140.522,36817.074,47560.05
Dharwad,199707,9985.35,113233.869,17574.216,283397,8501.91,85019.1,192993.357
Uttara Kannada,334281,23733.951,144409.392,33428.1,140511,5058.396,43417.899,70817.544
Haveri,315076,16383.952,124139.944,37809.12,98488,3644.056,26296.296,47668.192
Bellary,371604,18951.804,155330.472,34187.568,251876,8563.784,89919.732,106543.548
Chitradurga,349704,13638.456,141280.416,80781.624,97644,1952.88,28316.76,80068.08
Davanagere,354680,22699.52,170601.08,179468.08,176011,5632.352,65652.103,141864.866
Shimoga,352444,17622.2,158247.356,99389.208,201662,5848.198,60296.938,140558.414
Udupi,269817,14570.118,107656.983,32647.857,115572,3467.16,33284.736,73388.22
Chikmagalur,311660,18387.94,140247,59527.06,80766,1615.32,25602.822,59686.074
Tumkur,685443,39755.694,315989.223,204262.014,204799,5734.372,62873.293,165682.391
Bangalore,300576,21942.048,137663.808,185755.968,2967384,94956.288,955497.648,2602395.768
Mandya,458867,19272.414,158309.115,383612.812,103435,2172.135,25858.75,99297.6
Hassan,496103,27285.665,225726.865,268391.723,132878,3853.462,40527.79,118792.932
Dakshina Kannada,332919,19309.302,136163.871,60924.177,317373,7934.325,88547.067,261832.725
Kodagu,181182,4529.55,52180.416,135524.136,31792,349.712,6326.608,30774.656
Mysore,540596,24326.82,238943.432,148663.9,380386,11791.966,117539.274,326751.574
Chamarajanagar,262680,16286.16,127925.16,70135.56,57200,1372.8,16988.4,51422.8
Gulbarga,400704,14826.048,163487.232,353020.224,199303,3188.848,52416.689,194519.728
Yadgir,207787,9558.202,83114.8,163736.156,55208,1766.656,18439.472,53551.76
Kolar,326567,17308.051,156752.16,88173.09,151042,3322.924,43046.97,142281.564
Chikkaballapura,315649,22095.43,149933.275,48609.946,94053,4232.385,35175.822,60476.079
Bangalore Rural,231052,8548.924,100276.568,10397.34,95410,1431.15,27478.08,65069.62
Ramanagara,266950,14682.25,136678.4,11478.85,84834,2460.186,29182.896,34103.268
North Goa,115859,5908.809,47386.331,29544.045,209230,3347.68,66116.68,167802.46
South Goa,88620,4342.38,33941.46,20382.6,162873,2605.968,45441.567,137301.939
Lakshadweep,5289,195.693,1930.485,3993.195,15953,271.201,4642.323,14565.089
Kasaragod,251641,17111.588,109463.835,70459.48,166164,5317.248,56828.088,147055.14
Kannur,306288,5513.184,70446.24,210419.856,566191,6228.101,110973.436,482960.923
Wayanad,266183,5323.66,62286.822,196443.054,11805,177.075,2880.42,10057.86
Kozhikode,323793,5633.9982,132301.8198,317511.4158,666543,3199.4064,95448.9576,651279.1653
Malappuram,634543,48225.268,202419.217,563474.184,522586,14109.822,96678.41,504818.076
Palakkad,665899,41285.738,207094.589,641260.737,228442,4797.282,44317.748,225015.37
Thrissur,336748,30307.32,119208.792,308797.916,715119,39331.545,286047.6,681508.407
Ernakulam,369694,24399.804,100187.074,358603.18,804997,28979.892,155364.421,790507.054
Idukki,391610,16447.62,108084.36,377903.65,20823,520.575,4435.299,20510.655
Kottayam,481967,26026.218,170616.318,425094.894,196194,6474.402,55130.514,186188.106
Alappuzha,331419,16902.369,116659.488,321145.011,392117,16076.797,111753.345,385451.011
Pathanamthitta,414992,20749.6,122837.632,402127.248,57848,1793.288,12900.104,56864.584
Kollam,523715,43468.345,230958.315,464535.205,401415,5619.81,94332.525,398605.095
Thiruvananthapuram,559293,25727.478,195752.55,536921.28,609824,15855.424,161603.36,598847.168
Thiruvallur,387237,29817.249,115783.863,351998.433,732196,47592.74,195496.332,693389.612
Chennai,0,0,0,0,1314125,36795.5,311447.625,1261560
Kancheepuram,438799,32909.925,131200.901,408083.07,774705,42608.775,189028.02,746815.62
Vellore,653499,66656.898,223496.658,600565.581,486801,29694.861,126081.459,468789.363
Tiruvannamalai,563102,18582.366,182445.048,159357.866,147061,1470.61,26618.041,130590.168
Viluppuram,808042,18584.966,256149.314,236756.306,159272,1274.176,28031.872,136336.832
Salem,572813,13174.699,159242.014,109980.096,597539,8963.085,125483.19,425447.768
Namakkal,370357,8518.211,107403.53,46294.625,257127,3342.651,48082.749,167389.677
Erode,411286,8225.72,148062.96,54289.752,432398,6485.97,102910.724,283653.088
The Nilgiris,112126,2578.898,36104.572,16370.396,151979,1975.727,37082.876,83436.471
Dindigul,443818,7988.724,112729.772,138471.216,269724,3236.688,65542.932,147269.304
Karur,212241,4244.82,60700.926,71525.217,152420,1676.62,36275.96,97243.96
Tiruchirappalli,452707,9506.847,156636.622,191495.061,423020,8037.38,153979.28,249158.78
Perambalur,155413,2797.434,48955.095,29373.057,33179,464.506,8593.361,19044.746
Ariyalur,223955,4927.01,64946.95,51509.65,30322,272.898,6094.722,20346.062
Cuddalore,497429,11938.296,148233.842,119382.96,260780,3129.36,55806.92,193498.76
Nagapattinam,399016,8778.352,120502.832,62246.496,118724,1068.516,20064.356,65535.648
Thiruvarur,321331,10925.254,121784.449,45629.002,86848,1736.96,24056.896,44553.024
Thanjavur,479070,11497.68,186358.23,95334.93,274302,4114.53,72415.728,188171.172
Pudukkottai,399712,12790.784,178671.264,124710.144,104229,2501.496,32310.99,72647.613
Sivaganga,309224,12678.184,138532.352,97405.56,143193,2434.281,39950.847,104244.504
Madurai,417718,18797.31,180036.458,120302.784,592723,11854.46,170111.501,443356.804
Theni,189328,7951.776,74784.56,33511.056,221295,3540.72,55545.045,153357.435
Virudhunagar,363782,10913.46,115318.894,86943.898,370942,5193.188,81607.24,291189.47
Ramanathapuram,290478,6100.038,93243.438,60128.946,126761,1014.088,21929.653,107493.328
Thoothukkudi,336078,7057.638,118299.456,83347.344,300661,3908.593,89897.639,156343.72
Tirunelveli,547962,9315.354,147949.74,80002.452,516705,4650.345,99724.065,242334.645
Kanniyakumari,104253,3127.59,35863.032,23456.925,493788,7900.608,123940.788,348614.328
Dharmapuri,396819,7936.38,132934.365,111902.958,91107,1184.391,21136.824,66599.217
Krishnagiri,437988,7007.808,132710.364,145412.016,142552,1568.072,35780.552,89665.208
Coimbatore,284795,7689.465,101387.02,236664.645,884957,26548.71,292035.81,782301.988
Tiruppur,356886,8922.15,118129.266,38186.802,538022,8608.352,123745.06,317432.98
Yanam,0,0,0,0,15519,93.114,2839.977,12151.377
PONDICHERRY,87296,1396.736,23919.104,29069.568,203741,1629.928,49101.581,158714.239
Mahe,0,0,0,0,12110,84.77,2857.96,9082.5
Karaikal,35618,926.068,11362.142,12751.244,33715,404.58,6405.85,27814.875
Nicobars,15958,335.118,5872.544,7596.008,0,0,0,0
North  AND Middle Andaman,39091,1055.457,17317.313,18763.68,1094,72.204,611.546,613.734
South Andaman,34901,1221.535,11691.835,22580.947,50631,607.572,10835.034,44454.018
