District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise
Panipat,173502,11104.128,81719.442,79810.92,153804,6152.16,52139.556,141345.876
Sonipat,283858,12205.894,130574.68,196145.878,133576,4675.16,39538.496,123424.224
Jind,278335,13360.08,134992.475,160599.295,89665,3676.265,33086.385,74152.955
Fatehabad,203020,9947.98,96434.5,139271.72,55360,1439.36,16220.48,50709.76
Sirsa,245476,10309.992,116846.576,163732.492,93316,2706.164,36393.24,88556.884
Hisar,302013,14194.611,151610.526,169731.306,154113,5239.842,54864.228,142092.186
Bhiwani,357047,17852.35,182451.017,183165.111,99235,2778.58,33640.665,86929.86
Rohtak,175203,9986.571,81294.192,127722.987,131739,6455.211,44527.782,119750.751
Jhajjar,211816,12497.144,88327.272,185339,78328,3211.448,25848.24,75116.552
Mahendragarh,223726,12304.93,104032.59,139828.75,44216,1459.128,14237.552,39573.32
Rewari,199449,10570.797,91547.091,98128.908,69305,3049.42,28830.88,60156.74
Gurgaon,141703,6660.041,69859.579,82754.552,381988,10313.676,127202.004,351810.948
Mewat,187398,9182.502,84516.498,109627.83,36237,1630.665,14820.933,33229.329
Faridabad,87700,2718.7,36921.7,34203,382981,10723.468,142468.932,295661.332
Palwal,186069,6140.277,77590.773,92662.362,63090,1514.16,19557.9,55393.02
North West,67592,2162.944,26563.656,44340.352,959275,37411.725,262841.35,879655.175
North,4512,406.08,2635.008,803.136,296559,14234.832,122182.308,185349.375
North East,5326,229.018,2300.832,3121.036,482255,11574.12,188561.705,430171.46
East,1086,68.418,554.946,348.606,461132,16600.752,166929.784,381817.296
New Delhi,0,0,0,0,52664,1737.912,18116.416,45238.376
Central,0,0,0,0,194897,6821.395,72306.787,175212.403
West,1809,50.652,658.476,1718.55,699703,13994.06,249094.268,665417.553
South West,41179,494.148,2758.993,40396.599,606503,11523.557,146773.726,566473.802
South,2918,52.524,1409.394,2541.578,728145,20388.06,209705.76,654602.355
Ganganagar,397697,13124.001,141182.435,348780.269,164897,4287.322,45676.469,150386.064
Hanumangarh,389059,17896.714,160681.367,352487.454,108694,3152.126,32934.282,95650.72
Bikaner,335754,8393.85,141352.434,272968.002,196179,6473.907,63169.638,183623.544
Churu,344897,8277.528,126922.096,283850.231,148996,4618.876,47976.712,139907.244
Jhunjhunun,500452,24522.148,253228.712,147633.34,150357,2556.069,41047.461,139230.582
Alwar,782294,45373.052,306659.248,367678.18,212967,4685.274,64741.968,186346.125
Bharatpur,344332.1893,8263.972543,84017.05419,157359.8105,129697,2334.546,32943.038,107000.025
Dhaulpur,214670,7728.12,84794.65,31771.16,58626,938.016,16884.288,46490.418
Karauli,305047,14337.209,166250.615,23793.666,59308,1423.392,24909.36,41219.06
Sawai Madhopur,282057,18615.762,164721.288,13538.736,71264,2494.24,28363.072,44753.792
Dausa,361084,20220.704,225316.416,29608.888,59610,1847.91,24738.15,37196.64
Jaipur,754841,33213.004,416672.232,66426.008,977838,25423.788,340287.624,705999.036
Sikar,527560,27960.68,248480.76,49063.08,178274,2495.836,47777.432,137270.98
Nagaur,675712,28379.904,287853.312,148656.64,166489,1997.868,45118.519,151005.523
Jodhpur,584215,16358.02,183443.51,234854.43,307442,4919.072,82701.898,260403.374
Jaisalmer,159117,10024.371,73830.288,42166.005,30830,739.92,9865.6,24848.98
Barmer,542825,28226.9,268698.375,74367.025,55980,951.66,14442.84,50437.98
Jalor,419216,13414.912,235180.176,70009.072,48202,819.434,19473.608,32054.33
Sirohi,238535,12642.355,141689.79,23137.895,69639,1740.975,20195.31,57661.092
Pali,512909,43084.356,267225.589,57958.717,139808,5592.32,51029.92,86541.152
Ajmer,409335,28244.115,207942.18,66312.27,274919,5223.461,73678.292,187494.758
Tonk,298911,16141.194,149754.411,55896.357,81755,2043.875,27142.66,56492.705
Bundi,239836,8154.424,119678.164,33816.876,63452,697.972,17703.108,54695.624
Bhilwara,530015,10070.285,286738.115,36571.035,145865,3646.625,52948.995,95833.305
Rajsamand,304622,10357.148,171502.186,25283.626,61054,1221.08,20514.144,39196.668
Dungarpur,322816,11621.376,179162.88,33895.68,31547,410.111,9495.647,23565.609
Banswara,390437,16398.354,213178.602,44119.381,39407,394.07,12176.763,28136.598
Chittaurgarh,366780,22740.36,227770.38,33376.98,88873,1866.333,22751.488,65854.893
Kota,203454,18514.314,139569.444,14038.326,311735,7169.905,73257.725,257181.375
Baran,249184,8970.624,136802.016,23921.664,69804,1256.472,18707.472,50607.9
Jhalawar,298624,8361.472,138262.912,36730.752,63763,1211.497,18682.559,48969.984
Udaipur,665449,20628.919,337382.643,49908.675,182769,3655.38,63786.381,104726.637
Pratapgarh,209813,9021.959,125258.361,15106.536,24269,509.649,7280.7,16235.961
Saharanpur,605082,22993.116,363654.282,56272.626,284156,3409.872,62514.32,244942.472
Muzaffarnagar,673746,16843.65,425807.472,41772.252,296104,4145.456,71064.96,207568.904
Bijnor,683875,17096.875,432209,42400.25,224648,6739.44,71213.416,143999.368
Moradabad,692398,43621.074,309501.906,78240.974,355518,4977.252,85324.32,249218.118
Rampur,396775,24996.825,177358.425,44835.575,143217,4296.51,45399.789,91802.097
Jyotiba Phule Nagar,335888,19145.616,156187.92,144095.952,115486,3580.066,43076.278,106247.12
Meerut,381520,17549.92,191523.04,209454.48,422303,13513.696,168921.2,391052.578
Baghpat,246055,13533.025,129424.93,124011.72,69991,2239.712,29886.157,64671.684
Ghaziabad,355407,21324.42,225683.445,169884.546,836316,26762.112,386377.992,782791.776
