,State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Households_Urban,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Started
55,Uttarakhand,Uttarkashi,330086,168597,161489,215126,128237,86889,112148,9061,121209,202426,75997,51245,418
56,Uttarakhand,Chamoli,391605,193991,197614,280556,155395,125161,163434,22906,186340,229715,93182,67873,835
57,Uttarakhand,Rudraprayag,242285,114589,127696,170933,91803,79130,112705,4454,117159,141848,54979,44986,472
58,Uttarakhand,Tehri Garhwal,618931,297986,320945,407994,227406,180588,227059,27177,254236,368324,139371,109998,1238
59,Uttarakhand,Dehradun,1696694,892199,804495,1259506,702216,557290,228245,269393,497638,968517,446046,276280,5851
60,Uttarakhand,Garhwal,687271,326829,360442,494889,262148,232741,279682,36780,316462,380765,160183,145445,878
61,Uttarakhand,Pithoragarh,483439,239306,244133,345550,189623,155927,183687,26256,209943,273494,116749,92517,679
62,Uttarakhand,Bageshwar,259898,124326,135572,179483,97546,81937,96031,3880,99911,147488,60569,51672,169
63,Uttarakhand,Almora,622506,291081,331425,436497,231604,204893,260056,21082,281138,351595,141238,128994,679
64,Uttarakhand,Champawat,259648,131125,128523,177726,102015,75711,85202,12839,98041,156916,60722,41913,97
65,Uttarakhand,Nainital,954605,493666,460939,696500,385779,310721,193086,105577,298663,562548,243095,147053,1909
66,Uttarakhand,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,269406,145253,414659,1042614,392370,212223,1695
67,Uttarakhand,Hardwar,1890422,1005295,885127,1178354,691411,486943,301828,186183,488011,1207120,435385,246229,1688
68,Haryana,Panchkula,561293,299679,261614,405318,229862,175456,70895,93656,164551,309078,157076,93606,1533
69,Haryana,Ambala,1128350,598703,529647,818025,461288,356737,175365,139891,315256,617859,308126,201685,680
70,Haryana,Yamunanagar,1214205,646718,567487,832457,474793,357664,214464,143259,357723,0,317708,0,298
71,Haryana,Kurukshetra,964655,510976,453679,646893,370828,276065,203553,88268,291821,552034,250830,160216,1575
72,Haryana,Kaithal,1074304,571003,503301,646529,385782,260747,231091,75696,306787,630194,265813,176320,1977
73,Haryana,Karnal,1505324,797712,707612,978013,564516,413497,292682,135920,428602,884972,380409,234684,5259
74,Haryana,Panipat,1205437,646857,558580,786599,464136,322463,173502,153804,327306,739075,298764,167244,354
75,Haryana,Sonipat,1450001,781299,668702,998316,589881,408435,283858,133576,417434,855201,360216,233318,1266
76,Haryana,Jind,1334152,713006,621146,832758,502049,330709,278335,89665,368000,784085,335704,213478,885
77,Haryana,Fatehabad,942011,495360,446651,557578,327471,230107,203020,55360,258380,555745,237009,147469,1788
78,Haryana,Sirsa,1295189,682582,612607,782897,456968,325929,245476,93316,338792,750228,334344,208185,2432
79,Haryana,Hisar,1743931,931562,812369,1114311,670200,444111,302013,154113,456126,1017830,456536,265109,4456
80,Haryana,Bhiwani,1634445,866672,767773,1069871,643158,426713,357047,99235,456282,964960,405760,261428,2297
81,Haryana,Rohtak,1061204,568479,492725,747582,436025,311557,175203,131739,306942,605741,269354,185685,424
82,Haryana,Jhajjar,958405,514667,443738,676091,399480,276611,211816,78328,290144,549975,245095,162356,979
83,Haryana,Mahendragarh,922088,486665,435423,630255,380440,249815,223726,44216,267942,530000,229392,161258,1438
84,Haryana,Rewari,900332,474335,425997,636947,375453,261494,199449,69305,268754,518747,230704,150557,324
85,Haryana,Gurgaon,1514432,816690,697742,1111116,638666,472450,141703,381988,523691,875531,428101,210307,493
86,Haryana,Mewat,1089263,571162,518101,454897,308435,146462,187398,36237,223635,790930,186916,110688,729
87,Haryana,Faridabad,1809733,966110,843623,1272739,734940,537799,87700,382981,470681,1095602,481318,231029,1784
88,Haryana,Palwal,1042708,554497,488211,599796,379696,220100,186069,63090,249159,684189,224043,133913,563
89,Nct Of Delhi,North West,3656539,1960922,1695617,2707855,1541952,1165903,67592,959275,1026867,2138591,1013424,503055,1469
90,Nct Of Delhi,North,887978,475002,412976,681517,381615,299902,4512,296559,301071,506601,256501,124513,363
91,Nct Of Delhi,North East,2241624,1188425,1053199,1611588,912481,699107,5326,482255,487581,1393078,581016,264663,2867
92,Nct Of Delhi,East,1709346,907500,801846,1352998,748382,604616,1086,461132,462218,948963,497157,262124,1102
93,Nct Of Delhi,New Delhi,142004,77942,64062,114179,65678,48501,0,52664,52664,76076,43913,21773,242
94,Nct Of Delhi,Central,582320,307821,274499,442360,240518,201842,0,194897,194897,317650,169533,94448,689
95,Nct Of Delhi,West,2543243,1356240,1187003,1961179,1093933,867246,1809,699703,701512,1399165,732515,408953,2610
96,Nct Of Delhi,South West,2292958,1246046,1046912,1787689,1025261,762428,41179,606503,647682,1296955,683209,308675,4119
97,Nct Of Delhi,South,2731929,1467428,1264501,2078402,1185036,893366,2918,728145,731063,1588001,785085,355602,3241
98,Rajasthan,Ganganagar,1969168,1043340,925828,1193343,710908,482435,397697,164897,562594,1167889,502211,283484,15584
99,Rajasthan,Hanumangarh,1774692,931184,843508,1034136,624281,409855,389059,108694,497753,1058044,453114,242361,21173
100,Rajasthan,Bikaner,2363937,1240801,1123136,1278801,782399,496402,335754,196179,531933,1543867,517271,288165,14634
