Column1,District,Households,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise,Sum,premise,no on premise,percent
506,Gondiya,386515,319702,12468.378,156334.278,71293.546,66813,2204.829,19509.396,42426.255,386515,113719.801,272795.199,70.57816618
507,Gadchiroli,330840,293586,9981.924,109801.164,54900.582,37254,596.064,8456.658,24326.862,330840,79227.444,251612.556,76.05264055
508,Chandrapur,684655,451324,24822.82,175565.036,101999.224,233331,3966.627,63232.701,151431.819,684655,253431.043,431223.957,62.98412441
509,Yavatmal,798132,629243,42159.281,295114.967,183109.713,168889,5911.115,58097.816,102853.401,798132,285963.114,512168.886,64.17094992
510,Nanded,821682,591119,41969.449,280781.525,182655.771,230563,8530.831,77930.294,166697.049,821682,349352.82,472329.18,57.48320883
511,Hingoli,284369,242456,16244.552,112257.128,66675.4,41913,1089.738,14962.941,28207.449,284369,94882.849,189486.151,66.63389856
512,Parbhani,427239,293480,19369.68,130892.08,120620.28,133759,3879.011,41866.567,105134.574,427239,225754.854,201484.146,47.15958655
513,Jalna,502830,404746,38450.87,176874.002,191040.112,98084,3629.108,23540.16,76897.856,502830,267937.968,234892.032,46.71400513
514,Aurangabad,979132,551789,45798.487,215197.71,254374.729,427343,11965.604,101280.291,384608.7,979132,638983.429,340148.571,34.7398074
515,Nashik,1668932,904661,73277.541,394432.196,504800.838,764271,25985.214,191067.75,644280.453,1668932,1149081.291,519850.709,31.14870522
516,Thane,3618151,713994,37127.688,287739.582,339147.15,2904157,95837.181,784122.39,2244913.361,3618151,2584060.511,1034090.489,28.58063384
517,Mumbai Suburban,3078829,0,0,0,0,3078829,123153.16,831283.83,2028948.311,3078829,2028948.311,1049880.689,34.1
518,Mumbai,1107321,0,0,0,0,1107321,37648.914,279044.892,793949.157,1107321,793949.157,313371.843,28.3
519,Raigarh,959028,581868,47131.308,272896.092,126847.224,377160,14709.24,110507.88,257223.12,959028,384070.344,574957.656,59.95212403
520,Pune,3222457,1165718,90926.004,596847.616,223817.856,2056739,82269.56,719858.65,1505532.948,3222457,1729350.804,1493106.196,46.33440248
521,Ahmadnagar,1323404,1041393,62483.58,486330.531,280134.717,282011,8742.341,109138.257,185281.227,1323404,465415.944,857988.056,64.83190741
522,Bid,698571,563114,46738.462,266352.922,74894.162,135457,5960.108,48493.606,90620.733,698571,165514.895,533056.105,76.30664671
523,Latur,585632,428616,29574.504,175732.56,125155.872,157016,4867.496,57310.84,110225.232,585632,235381.104,350250.896,59.80733566
524,Osmanabad,444990,367158,20560.848,126669.51,107577.294,77832,1945.8,18913.176,53781.912,444990,161359.206,283630.794,63.73868941
525,Solapur,1156231,779929,45235.882,287013.872,309631.813,376302,4139.322,81657.534,280344.99,1156231,589976.803,566254.197,48.97414072
526,Satara,975471,774522,37951.578,185110.758,478654.596,200949,2612.337,41998.341,161763.945,975471,640418.541,335052.459,34.34776216
527,Ratnagiri,639362,538538,39851.812,164792.628,210568.358,100824,2520.6,23290.344,74206.464,639362,284774.822,354587.178,55.45953278
528,Sindhudurg,340836,295847,23667.76,121297.27,45560.438,44989,1304.681,13856.612,31087.399,340836,76647.837,264188.163,77.51181301
529,Kolhapur,1179314,796496,45400.272,319394.896,197531.008,382818,9953.268,117142.308,298215.222,1179314,495746.23,683567.77,57.96316927
530,Sangli,853673,626872,38866.064,239465.104,139165.584,226801,6350.428,71669.116,131090.978,853673,270256.562,583416.438,68.34191054
531,Adilabad,817714,597466,46602.348,176849.936,191786.586,220248,4184.712,67836.384,134131.032,817714,325917.618,491796.382,60.14283503
532,Nizamabad,720298,565165,29953.745,157115.87,396180.665,155133,4188.591,32112.531,116970.282,720298,513150.947,207147.053,28.7585212
533,Karimnagar,1165280,877236,35966.676,251766.732,589502.592,288044,5472.836,47815.304,236196.08,1165280,825698.672,339581.328,29.14160785
534,Medak,789132,593653,27308.038,163848.228,441677.832,195479,5864.37,46524.002,169675.772,789132,611353.604,177778.396,22.5283471
535,Hyderabad,1066289,0,0,0,0,1066289,12795.468,236716.158,796517.883,1066289,796517.883,269771.117,25.3
536,Rangareddy,1561322,432098,22036.998,118394.852,261419.29,1129224,27101.376,285693.672,876277.824,1561322,1137697.114,423624.886,27.1324484
537,Mahbubnagar,1010015,848963,55182.595,303079.791,117156.894,161052,4509.456,37847.22,113863.764,1010015,231020.658,778994.342,77.12700722
538,Nalgonda,1030937,833504,35840.672,265054.272,245050.176,197433,4343.526,50147.982,168805.215,1030937,413855.391,617081.609,59.85638395
539,Warangal,1046987,758738,38695.638,245831.112,259488.396,288249,5188.482,60532.29,243282.156,1046987,502770.552,544216.448,51.97929373
540,Khammam,870625,669262,29447.528,231564.652,212825.316,201363,2416.356,39064.422,170353.098,870625,383178.414,487446.586,55.98812187
541,Srikakulam,902436,752752,16560.544,191951.76,327447.12,149684,1047.788,24248.808,143696.64,902436,471143.76,431292.24,47.79200298
542,Vizianagaram,749514,592458,36732.396,182477.064,106049.982,157056,2669.952,29840.64,122660.736,749514,228710.718,520803.282,69.48546418
543,Visakhapatnam,1379340,718847,42411.973,245845.674,229312.193,660493,11228.381,160499.799,536320.316,1379340,765632.509,613707.491,44.4928365
544,East Godavari,1605841,1199479,101955.715,465397.852,356245.263,406362,11784.498,96307.794,334842.288,1605841,691087.551,914753.449,56.96413586
545,West Godavari,1255628,1007255,52377.26,341459.445,376713.37,248373,5464.206,56132.298,212110.542,1255628,588823.912,666804.088,53.10522607
546,Krishna,1476334,909292,31825.22,291882.732,116389.376,567042,9639.714,121346.988,373680.678,1476334,490070.054,986263.946,66.80493344
