Column1,District,Households,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise,Sum,premise,no on premise,percent
547,Guntur,1582990,1069877,35305.941,330591.993,114476.839,513113,9749.147,102622.6,340707.032,1582990,455183.871,1127806.129,71.24530976
548,Prakasam,1087575,873486,27951.552,259425.342,186926.004,214089,2354.979,36395.13,178764.315,1087575,365690.319,721884.681,66.37562292
549,Sri Potti Sriramulu Nellore,953513,689137,26876.343,209497.648,323894.39,264376,4494.392,55254.584,230800.248,953513,554694.638,398818.362,41.82621128
550,Y.S.R.,884093,590589,28348.272,177176.7,347856.921,293504,6457.088,61929.344,260338.048,884093,608194.969,275898.031,31.20690142
551,Kurnool,1090835,783853,34489.532,241426.724,440525.386,306982,5218.694,61703.382,285493.26,1090835,726018.646,364816.354,33.44377051
552,Anantapur,1244428,902997,37925.874,279929.07,419893.605,341431,6487.189,74773.389,294654.953,1244428,714548.558,529879.442,42.58016068
553,Chittoor,0,0,0,0,0,395900,7918,83930.8,306426.6,395900,306426.6,89473.4,22.6
554,Belgaum,1318975,962777,41399.411,268614.783,245508.135,356198,6767.762,59128.868,280684.024,1318975,526192.159,792782.841,60.10597934
555,Bagalkot,490657,324799,8444.774,71130.981,92242.916,165858,1824.438,30849.588,131193.678,490657,223436.594,267220.406,54.46175353
556,Bijapur,527490,396449,13082.817,107041.23,109419.924,131041,1834.574,27518.61,95266.807,527490,204686.731,322803.269,61.19609263
557,Bidar,389403,287134,8326.886,62308.078,63169.48,102269,1329.497,21374.221,77928.978,389403,141098.458,248304.542,63.76544146
558,Raichur,455848,330446,12226.502,74019.904,64767.416,125402,1504.824,18434.094,102202.63,455848,166970.046,288877.954,63.37155236
559,Koppal,337649,272968,12829.496,105092.68,50499.08,64681,1228.939,16493.655,46829.044,337649,97328.124,240320.876,71.17476314
560,Gadag,291972,180066,9363.432,77248.314,12964.752,111906,4140.522,36817.074,47560.05,291972,60524.802,231447.198,79.27034031
561,Dharwad,483104,199707,9985.35,113233.869,17574.216,283397,8501.91,85019.1,192993.357,483104,210567.573,272536.427,56.41361425
562,Uttara Kannada,474792,334281,23733.951,144409.392,33428.1,140511,5058.396,43417.899,70817.544,474792,104245.644,370546.356,78.04393419
563,Haveri,413564,315076,16383.952,124139.944,37809.12,98488,3644.056,26296.296,47668.192,413564,85477.312,328086.688,79.3315395
564,Bellary,623480,371604,18951.804,155330.472,34187.568,251876,8563.784,89919.732,106543.548,623480,140731.116,482748.884,77.42812664
565,Chitradurga,447348,349704,13638.456,141280.416,80781.624,97644,1952.88,28316.76,80068.08,447348,160849.704,286498.296,64.04371898
566,Davanagere,530691,354680,22699.52,170601.08,179468.08,176011,5632.352,65652.103,141864.866,530691,321332.946,209358.054,39.45008564
567,Shimoga,554106,352444,17622.2,158247.356,99389.208,201662,5848.198,60296.938,140558.414,554106,239947.622,314158.378,56.69644039
568,Udupi,385389,269817,14570.118,107656.983,32647.857,115572,3467.16,33284.736,73388.22,385389,106036.077,279352.923,72.48596172
569,Chikmagalur,392426,311660,18387.94,140247,59527.06,80766,1615.32,25602.822,59686.074,392426,119213.134,273212.866,69.62149959
570,Tumkur,890242,685443,39755.694,315989.223,204262.014,204799,5734.372,62873.293,165682.391,890242,369944.405,520297.595,58.44451228
571,Bangalore,3267960,300576,21942.048,137663.808,185755.968,2967384,94956.288,955497.648,2602395.768,3267960,2788151.736,479808.264,14.68219513
572,Mandya,562302,458867,19272.414,158309.115,383612.812,103435,2172.135,25858.75,99297.6,562302,482910.412,79391.588,14.11902999
573,Hassan,628981,496103,27285.665,225726.865,268391.723,132878,3853.462,40527.79,118792.932,628981,387184.655,241796.345,38.44255152
574,Dakshina Kannada,650292,332919,19309.302,136163.871,60924.177,317373,7934.325,88547.067,261832.725,650292,322756.902,327535.098,50.3673885
575,Kodagu,212974,181182,4529.55,52180.416,135524.136,31792,349.712,6326.608,30774.656,212974,166298.792,46675.208,21.91591838
576,Mysore,920982,540596,24326.82,238943.432,148663.9,380386,11791.966,117539.274,326751.574,920982,475415.474,445566.526,48.37950427
577,Chamarajanagar,319880,262680,16286.16,127925.16,70135.56,57200,1372.8,16988.4,51422.8,319880,121558.36,198321.64,61.99876204
578,Gulbarga,600007,400704,14826.048,163487.232,353020.224,199303,3188.848,52416.689,194519.728,600007,547539.952,52467.048,8.744405982
579,Yadgir,262995,207787,9558.202,83114.8,163736.156,55208,1766.656,18439.472,53551.76,262995,217287.916,45707.084,17.3794498
580,Kolar,477609,326567,17308.051,156752.16,88173.09,151042,3322.924,43046.97,142281.564,477609,230454.654,247154.346,51.74825977
581,Chikkaballapura,409702,315649,22095.43,149933.275,48609.946,94053,4232.385,35175.822,60476.079,409702,109086.025,300615.975,73.3743001
582,Bangalore Rural,326462,231052,8548.924,100276.568,10397.34,95410,1431.15,27478.08,65069.62,326462,75466.96,250995.04,76.88338612
583,Ramanagara,351784,266950,14682.25,136678.4,11478.85,84834,2460.186,29182.896,34103.268,351784,45582.118,306201.882,87.04258352
584,North Goa,325089,115859,5908.809,47386.331,29544.045,209230,3347.68,66116.68,167802.46,325089,197346.505,127742.495,39.2946224
585,South Goa,251493,88620,4342.38,33941.46,20382.6,162873,2605.968,45441.567,137301.939,251493,157684.539,93808.461,37.30062507
586,Lakshadweep,21242,5289,195.693,1930.485,3993.195,15953,271.201,4642.323,14565.089,21242,18558.284,2683.716,12.6340081
587,Kasaragod,417805,251641,17111.588,109463.835,70459.48,166164,5317.248,56828.088,147055.14,417805,217514.62,200290.38,47.93872261
588,Kannur,872479,306288,5513.184,70446.24,210419.856,566191,6228.101,110973.436,482960.923,872479,693380.779,179098.221,20.52751081
589,Wayanad,277988,266183,5323.66,62286.822,196443.054,11805,177.075,2880.42,10057.86,277988,206500.914,71487.086,25.71588918
590,Kozhikode,990336,323793,5633.9982,132301.8198,317511.4158,666543,3199.4064,95448.9576,651279.1653,990336,968790.5811,21545.4189,2.175566565
591,Malappuram,1157129,634543,48225.268,202419.217,563474.184,522586,14109.822,96678.41,504818.076,1157129,1068292.26,88836.74,7.677341074
592,Palakkad,894341,665899,41285.738,207094.589,641260.737,228442,4797.282,44317.748,225015.37,894341,866276.107,28064.893,3.138052823
593,Thrissur,1051867,336748,30307.32,119208.792,308797.916,715119,39331.545,286047.6,681508.407,1051867,990306.323,61560.677,5.852515289
594,Ernakulam,1174691,369694,24399.804,100187.074,358603.18,804997,28979.892,155364.421,790507.054,1174691,1149110.234,25580.766,2.177659146
595,Idukki,412433,391610,16447.62,108084.36,377903.65,20823,520.575,4435.299,20510.655,412433,398414.305,14018.695,3.399023599
596,Kottayam,678161,481967,26026.218,170616.318,425094.894,196194,6474.402,55130.514,186188.106,678161,611283,66878,9.861670016
597,Alappuzha,723536,331419,16902.369,116659.488,321145.011,392117,16076.797,111753.345,385451.011,723536,706596.022,16939.978,2.341276453
598,Pathanamthitta,472840,414992,20749.6,122837.632,402127.248,57848,1793.288,12900.104,56864.584,472840,458991.832,13848.168,2.928721766
599,Kollam,925130,523715,43468.345,230958.315,464535.205,401415,5619.81,94332.525,398605.095,925130,863140.3,61989.7,6.700647477
600,Thiruvananthapuram,1169117,559293,25727.478,195752.55,536921.28,609824,15855.424,161603.36,598847.168,1169117,1135768.448,33348.552,2.852456341
601,Thiruvallur,1119433,387237,29817.249,115783.863,351998.433,732196,47592.74,195496.332,693389.612,1119433,1045388.045,74044.955,6.61450529
602,Chennai,1314125,0,0,0,0,1314125,36795.5,311447.625,1261560,1314125,1261560,52565,4
603,Kancheepuram,1213504,438799,32909.925,131200.901,408083.07,774705,42608.775,189028.02,746815.62,1213504,1154898.69,58605.31,4.829428663
604,Vellore,1140300,653499,66656.898,223496.658,600565.581,486801,29694.861,126081.459,468789.363,1140300,1069354.944,70945.056,6.22161326
605,Tiruvannamalai,710163,563102,18582.366,182445.048,159357.866,147061,1470.61,26618.041,130590.168,710163,289948.034,420214.966,59.17162201
606,Viluppuram,967314,808042,18584.966,256149.314,236756.306,159272,1274.176,28031.872,136336.832,967314,373093.138,594220.862,61.42998675
607,Salem,1170352,572813,13174.699,159242.014,109980.096,597539,8963.085,125483.19,425447.768,1170352,535427.864,634924.136,54.25069859
608,Namakkal,627484,370357,8518.211,107403.53,46294.625,257127,3342.651,48082.749,167389.677,627484,213684.302,413799.698,65.94585647
609,Erode,843684,411286,8225.72,148062.96,54289.752,432398,6485.97,102910.724,283653.088,843684,337942.84,505741.16,59.94438202
610,The Nilgiris,264105,112126,2578.898,36104.572,16370.396,151979,1975.727,37082.876,83436.471,264105,99806.867,164298.133,62.20939891
611,Dindigul,713542,443818,7988.724,112729.772,138471.216,269724,3236.688,65542.932,147269.304,713542,285740.52,427801.48,59.95463196
612,Karur,364661,212241,4244.82,60700.926,71525.217,152420,1676.62,36275.96,97243.96,364661,168769.177,195891.823,53.71888494
613,Tiruchirappalli,875727,452707,9506.847,156636.622,191495.061,423020,8037.38,153979.28,249158.78,875727,440653.841,435073.159,49.68136862
614,Perambalur,188592,155413,2797.434,48955.095,29373.057,33179,464.506,8593.361,19044.746,188592,48417.803,140174.197,74.32669307
615,Ariyalur,254277,223955,4927.01,64946.95,51509.65,30322,272.898,6094.722,20346.062,254277,71855.712,182421.288,71.74116731
616,Cuddalore,758209,497429,11938.296,148233.842,119382.96,260780,3129.36,55806.92,193498.76,758209,312881.72,445327.28,58.7341063
617,Nagapattinam,517740,399016,8778.352,120502.832,62246.496,118724,1068.516,20064.356,65535.648,517740,127782.144,389957.856,75.31924441
618,Thiruvarur,408179,321331,10925.254,121784.449,45629.002,86848,1736.96,24056.896,44553.024,408179,90182.026,317996.974,77.90625534
619,Thanjavur,753372,479070,11497.68,186358.23,95334.93,274302,4114.53,72415.728,188171.172,753372,283506.102,469865.898,62.36837817
620,Pudukkottai,503941,399712,12790.784,178671.264,124710.144,104229,2501.496,32310.99,72647.613,503941,197357.757,306583.243,60.83713034
621,Sivaganga,452417,309224,12678.184,138532.352,97405.56,143193,2434.281,39950.847,104244.504,452417,201650.064,250766.936,55.42827436
622,Madurai,1010441,417718,18797.31,180036.458,120302.784,592723,11854.46,170111.501,443356.804,1010441,563659.588,446781.412,44.21647696
623,Theni,410623,189328,7951.776,74784.56,33511.056,221295,3540.72,55545.045,153357.435,410623,186868.491,223754.509,54.49147003
624,Virudhunagar,734724,363782,10913.46,115318.894,86943.898,370942,5193.188,81607.24,291189.47,734724,378133.368,356590.632,48.53395724
625,Ramanathapuram,417239,290478,6100.038,93243.438,60128.946,126761,1014.088,21929.653,107493.328,417239,167622.274,249616.726,59.82583747
626,Thoothukkudi,636739,336078,7057.638,118299.456,83347.344,300661,3908.593,89897.639,156343.72,636739,239691.064,397047.936,62.35646568
627,Tirunelveli,1064667,547962,9315.354,147949.74,80002.452,516705,4650.345,99724.065,242334.645,1064667,322337.097,742329.903,69.72413938
628,Kanniyakumari,598041,104253,3127.59,35863.032,23456.925,493788,7900.608,123940.788,348614.328,598041,372071.253,225969.747,37.7849925
629,Dharmapuri,487926,396819,7936.38,132934.365,111902.958,91107,1184.391,21136.824,66599.217,487926,178502.175,309423.825,63.4161379
630,Krishnagiri,580540,437988,7007.808,132710.364,145412.016,142552,1568.072,35780.552,89665.208,580540,235077.224,345462.776,59.50714438
631,Coimbatore,1169752,284795,7689.465,101387.02,236664.645,884957,26548.71,292035.81,782301.988,1169752,1018966.633,150785.367,12.89037052
632,Tiruppur,894908,356886,8922.15,118129.266,38186.802,538022,8608.352,123745.06,317432.98,894908,355619.782,539288.218,60.26186133
633,Yanam,15519,0,0,0,0,15519,93.114,2839.977,12151.377,15519,12151.377,3367.623,21.7
634,Pondicherry,291037,87296,1396.736,23919.104,29069.568,203741,1629.928,49101.581,158714.239,291037,187783.807,103253.193,35.477686
635,Mahe,12110,0,0,0,0,12110,84.77,2857.96,9082.5,12110,9082.5,3027.5,25
636,Karaikal,69333,35618,926.068,11362.142,12751.244,33715,404.58,6405.85,27814.875,69333,40566.119,28766.881,41.49089323
637,Nicobars,15958,15958,335.118,5872.544,7596.008,0,0,0,0,15958,7596.008,8361.992,52.4
638,North  and Middle Andaman,40185,39091,1055.457,17317.313,18763.68,1094,72.204,611.546,613.734,40185,19377.414,20807.586,51.77948488
